epoch	acc	loss	val_acc	val_loss
0	0.9286736845970154	0.1848786473274231	0.9805405139923096	0.058012645691633224
1	0.9711354970932007	0.07140376418828964	0.9697297215461731	0.11525902152061462
2	0.9866412281990051	0.044547080993652344	0.8983783721923828	0.30432000756263733
3	0.9880725145339966	0.03499721735715866	0.9664865136146545	0.10590142011642456
4	0.9849713444709778	0.04534061998128891	0.9589189291000366	0.10869578272104263
5	0.9906965494155884	0.034775298088788986	0.9567567706108093	0.11151514947414398
6	0.9902194738388062	0.03172021731734276	0.954594612121582	0.1408708393573761
7	0.9923664331436157	0.020025763660669327	0.9599999785423279	0.12644018232822418
8	0.9921278357505798	0.025294525548815727	0.9664865136146545	0.1208667978644371
9	0.9945133328437805	0.01785377785563469	0.9405405521392822	0.1608591079711914
